Protein;Np;113;114;115;116;117;118;119;121
>sp|P70188|KIFA3_MOUSE Kinesin-associated protein 3 OS=Mus musculus GN=Kifap3 PE=1 SV=1;4;-0.417473444;0.499244989;-0.690503675;-1.24217263;-1.831730808;-1.82789841;-1.675446021;-0.853086199
>sp|Q61550|RAD21_MOUSE Double-strand-break repair protein rad21 homolog OS=Mus musculus GN=Rad21 PE=1 SV=3;2;0.029191627;0.047442643;-0.825739659;-0.333824556;-1.338657257;-1.025341434;-0.810819802;-0.685787392
>sp|Q91WQ3|SYYC_MOUSE Tyrosine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Yars PE=1 SV=3;32;0.456897582;-0.419407414;-1.658570179;-0.654457419;-0.829525344;-0.792759586;-1.809952955;-1.611469131
>sp|P07759|SPA3K_MOUSE Serine protease inhibitor A3K OS=Mus musculus GN=Serpina3k PE=1 SV=2;7.5;0.800086761;-0.807790487;-2.916707993;-5.080804242;-3.307403495;-3.379466359;-4.587431368;-7.644757653
>sp|Q00898|A1AT5_MOUSE Alpha-1-antitrypsin 1-5 OS=Mus musculus GN=Serpina1e PE=1 SV=1;2;-0.588588278;0.894047433;-3.805296221;-5.843364651;-3.578523513;-4.094097857;-13.08825647;-10.60666629
>tr|Q7M703|Q7M703_MOUSE Kinesin light chain 1A OS=Mus musculus GN=Klc1 PE=2 SV=1;15;0.398611321;-0.418674083;-1.752185906;-0.702148506;-0.525391292;-1.161111207;-2.16794956;-1.366280026
>sp|P22599|A1AT2_MOUSE Alpha-1-antitrypsin 1-2 OS=Mus musculus GN=Serpina1b PE=1 SV=2;6;2.150448257;-2.423459317;-4.49514144;-6.230842112;-2.84093773;-4.322686958;-5.465732343;-9.737898105
>sp|P28665|MUG1_MOUSE Murinoglobulin-1 OS=Mus musculus GN=Mug1 PE=1 SV=3;4;-0.154263561;0.024995104;-3.008375846;-4.803288531;-2.113379315;-2.356039335;-4.930765651;-7.06924268
>sp|Q8K012|FBP1L_MOUSE Formin-binding protein 1-like OS=Mus musculus GN=Fnbp1l PE=1 SV=2;2;-0.502027645;0.521258276;-1.734342619;-1.109005783;-1.352616725;-1.798642327;-2.172553834;-1.103267136
>tr|B7ZNL3|B7ZNL3_MOUSE Tpm1 protein OS=Mus musculus GN=Tpm1 PE=1 SV=1;2;-0.509597792;0.382416509;-2.948656807;-2.996424614;-2.048627564;-2.297083737;-3.186820151;-3.116297798
>sp|Q61941|NNTM_MOUSE NAD(P) transhydrogenase, mitochondrial OS=Mus musculus GN=Nnt PE=1 SV=2;13;1.726711007;-1.832803298;-11.10273171;-9.709632755;-10.3278658;-12.2725129;-10.22850667;-11.6860969
>sp|Q9CXI5|MANF_MOUSE Mesencephalic astrocyte-derived neurotrophic factor OS=Mus musculus GN=Manf PE=1 SV=1;3;-0.514846211;0.543667007;-1.747531417;-1.122356841;-1.49278771;-1.960072649;-2.126929143;-1.981767965
>sp|Q8BIW1|PRUNE_MOUSE Protein prune homolog OS=Mus musculus GN=Prune PE=1 SV=1;7;0.0347848;0.183600691;-0.696937473;-0.937680414;-0.956935363;-0.978917814;-1.026087141;-0.892455187
>sp|Q5SNZ0|GRDN_MOUSE Girdin OS=Mus musculus GN=Ccdc88a PE=1 SV=2;5;-0.204271699;0.284223646;-1.467008384;-0.490325683;-0.85875482;-2.092129572;-1.606610724;-1.514042092
